id,name,email,password
2000000,Student0,2000000@test.com,Password12345!
2000001,Student1,2000001@test.com,Password12345!
2000002,Student2,2000002@test.com,Password12345!
2000003,Student3,2000003@test.com,Password12345!
2000004,Student4,2000004@test.com,Password12345!
2000005,Student5,2000005@test.com,Password12345!
2000006,Student6,2000006@test.com,Password12345!
2000007,Student7,2000007@test.com,Password12345!
2000008,Student8,2000008@test.com,Password12345!
2000009,Student9,2000009@test.com,Password12345!
